Metric,mean,std,n_success
A@10,0.9439999999999997,0.012649110640673505,10
P@10,0.33859999999999996,0.008435375246872908,10
R@10,0.8484588829471184,0.014896144837264626,10
MRR@10,0.8338603174603175,0.019217414932844123,10
MAP@10,0.8598669384605694,0.01741940730724821,10
Median IFA,0.0,0.0,10
Effort@20%Recall,0.012751430153164729,0.0005928808887259129,10
Recall@1%LOC,0.1543252595155709,0.009111150015285566,10
