variant,seed,length_group,num_samples,avg_loc,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA
chunk_infer_off,0,21-50,14,29.714285714285715,1.0,0.32857142857142857,0.9404761904761905,1.0,0.9910714285714286,0.0
chunk_infer_off,0,51-100,11,74.0909090909091,0.9090909090909091,0.3090909090909091,0.7518595041322313,0.9090909090909091,0.9090909090909091,0.0
chunk_infer_off,0,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_off,0,>100,12,334.75,0.4166666666666667,0.13333333333333333,0.3298611111111111,0.4166666666666667,0.4166666666666667,48.0
chunk_infer_off,1,21-50,14,29.714285714285715,1.0,0.2785714285714286,0.8873015873015874,0.8446428571428571,0.8383125472411186,0.0
chunk_infer_off,1,51-100,11,74.0909090909091,1.0,0.3181818181818182,0.7935261707988981,1.0,0.9889329805996472,0.0
chunk_infer_off,1,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.7948717948717949,0.8922334147334148,0.0
chunk_infer_off,1,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4166666666666667,48.0
chunk_infer_off,2,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9642857142857143,1.0,0.9552437641723356,0.0
chunk_infer_off,2,51-100,11,74.0909090909091,1.0,0.3272727272727273,0.7995867768595041,1.0,1.0,0.0
chunk_infer_off,2,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_infer_off,2,>100,12,334.75,0.4166666666666667,0.1416666666666667,0.34375,0.4166666666666667,0.4138888888888889,48.0
chunk_infer_off,3,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9682539682539683,1.0,0.9858333333333332,0.0
chunk_infer_off,3,51-100,11,74.0909090909091,1.0,0.2909090909090909,0.7791322314049587,1.0,1.0,0.0
chunk_infer_off,3,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8922334147334148,0.0
chunk_infer_off,3,>100,12,334.75,0.4166666666666667,0.13333333333333333,0.34027777777777785,0.4166666666666667,0.4138888888888889,48.0
