variant,length_group,num_samples_mean,num_samples_std,avg_loc_mean,avg_loc_std,A@10_mean,A@10_std,P@10_mean,P@10_std,R@10_mean,R@10_std,MRR@10_mean,MRR@10_std,MAP@10_mean,MAP@10_std,Median IFA_mean,Median IFA_std
chunk_infer_off,<=20,13.0,0.0,13.153846153846155,1.8724445165742407e-15,1.0,0.0,0.36,0.0032433617027367878,0.9304487179487179,0.010811205675789389,0.8205128205128205,0.03626188621469475,0.9066400081400083,0.027786350566999497,0.0,0.0
chunk_infer_off,21-50,14.0,0.0,29.714285714285715,0.0,1.0,0.0,0.3328571428571429,0.020811212746106807,0.9494444444444443,0.025665602662823066,0.9844642857142857,0.049128242220473045,0.9705137944066516,0.047802083075227673,0.0,0.0
chunk_infer_off,51-100,11.0,0.0,74.0909090909091,0.0,0.990909090909091,0.02874797872880346,0.31909090909090904,0.01385349024322723,0.794435261707989,0.0186212333533205,0.990909090909091,0.02874797872880346,0.9872377745711078,0.028705250101220593,0.0,0.0
chunk_infer_off,>100,12.0,0.0,334.75,0.0,0.4166666666666667,0.0,0.13999999999999999,0.0035136418446315436,0.34201388888888895,0.004407276102930502,0.4166666666666667,0.0,0.41555555555555557,0.0014344382763731124,48.0,0.0
chunk_infer_on,<=20,13.0,0.0,13.153846153846155,1.8724445165742407e-15,1.0,0.0,0.36,0.0032433617027367878,0.9304487179487179,0.010811205675789389,0.8205128205128205,0.03626188621469475,0.9066400081400083,0.027786350566999497,0.0,0.0
chunk_infer_on,21-50,14.0,0.0,29.714285714285715,0.0,1.0,0.0,0.3328571428571429,0.020811212746106807,0.9494444444444443,0.025665602662823066,0.9844642857142857,0.049128242220473045,0.9705137944066516,0.047802083075227673,0.0,0.0
chunk_infer_on,51-100,11.0,0.0,74.0909090909091,0.0,0.990909090909091,0.02874797872880346,0.3654545454545455,0.01341572340677493,0.8532300275482093,0.021610167284326038,0.990909090909091,0.02874797872880346,0.98632693001443,0.02842166417269026,0.0,0.0
chunk_infer_on,>100,12.0,0.0,334.75,0.0,0.775,0.04025382429497068,0.28833333333333333,0.01191533921640401,0.6331045751633988,0.03444113445419884,0.5286541005291006,0.015597339462207007,0.5627493845532039,0.015407438499816593,1.6,0.31622776601683794
chunk_train_off,<=20,13.0,0.0,13.153846153846155,1.8724445165742407e-15,1.0,0.0,0.3623076923076923,0.004366509324596517,0.9340384615384615,0.008733018649193064,0.8487179487179487,0.028858022249801902,0.9190470763804097,0.018545172622756206,0.0,0.0
chunk_train_off,21-50,14.0,0.0,29.714285714285715,0.0,0.9714285714285715,0.036885555678165864,0.27928571428571425,0.03786388080199591,0.8495238095238096,0.0710751594052558,0.9541666666666668,0.05511446208084655,0.9205407690854122,0.06824124209140653,0.0,0.0
chunk_train_off,51-100,11.0,0.0,74.0909090909091,0.0,1.0,0.0,0.3372727272727273,0.021190465135814646,0.8271969696969697,0.020388219931062518,0.9525757575757577,0.04168456915676501,0.9479662340525434,0.02830938494165458,0.0,0.0
chunk_train_off,>100,12.0,0.0,334.75,0.0,0.7416666666666666,0.026352313834736504,0.2575,0.023717082451262844,0.5821078431372549,0.04241863494681255,0.4905390211640211,0.03912995392563546,0.5063980221718316,0.03772348732469973,2.5,1.1785113019775793
chunk_train_on,<=20,13.0,0.0,13.153846153846155,1.8724445165742407e-15,1.0,0.0,0.36,0.0032433617027367878,0.9304487179487179,0.010811205675789389,0.8102564102564103,0.024771584181520374,0.8968726088726088,0.021534065848910752,0.0,0.0
chunk_train_on,21-50,14.0,0.0,29.714285714285715,0.0,1.0,0.0,0.3171428571428571,0.04520048561936871,0.9353174603174603,0.06502691782632869,0.9698214285714286,0.051020273525899454,0.957552059712774,0.055564099742900185,0.0,0.0
chunk_train_on,51-100,11.0,0.0,74.0909090909091,0.0,0.990909090909091,0.02874797872880346,0.36636363636363634,0.03928890426269804,0.8561914600550965,0.0552434280890026,0.9772727272727273,0.032141217326661246,0.9735652299640394,0.030961771449319837,0.0,0.0
chunk_train_on,>100,12.0,0.0,334.75,0.0,0.75,0.039283710065919325,0.27749999999999997,0.026366949944631745,0.6153880718954249,0.05475991102798327,0.5285119047619047,0.02796814492738895,0.5601535126396238,0.03477113773462292,1.6,0.45946829173634074
