variant,A@10_mean,A@10_std,P@10_mean,P@10_std,R@10_mean,R@10_std,MRR@10_mean,MRR@10_std,MAP@10_mean,MAP@10_std,Median IFA_mean,Median IFA_std,Effort@20%Recall_mean,Effort@20%Recall_std,Recall@1%LOC_mean,Recall@1%LOC_std
chunk_infer_off,0.858,0.006324555320336764,0.2905999999999999,0.007545418035691194,0.764620202020202,0.011602618135552457,0.8069833333333334,0.018264593353545248,0.8243959082892417,0.01629497637880621,0.0,0.0,0.01179184351356335,0.0004028916256089701,0.17820069204152245,0.00615748457441252
chunk_infer_on,0.944,0.012649110640673505,0.3363999999999999,0.007351492667781477,0.847416815210933,0.014679777110204515,0.8338603174603175,0.019217414932844123,0.8595220414462081,0.017313385725856414,0.0,0.0,0.01291751245617267,0.0005963806184925101,0.15121107266435982,0.008941659720098867
chunk_train_off,0.9299999999999999,0.010540925533894548,0.3083999999999999,0.013688600285557984,0.8024058823529414,0.022900900988094403,0.8151293650793651,0.02098028279871205,0.8267917520156212,0.020327637648221347,0.0,0.0,0.01396936704188961,0.0009958481129272421,0.13875432525951553,0.012036350955658186
chunk_train_on,0.938,0.01475729574745242,0.32959999999999995,0.026563132345414416,0.8398608140225787,0.04265106264878018,0.8240595238095239,0.02440661433155468,0.8499226486520536,0.029229015362393633,0.0,0.0,0.01328658424063477,0.000650981438411646,0.143598615916955,0.011212354149494562
neg_off,0.942,0.006324555320336764,0.34619999999999995,0.0038239014399199986,0.8577918003565064,0.0066863860319171286,0.8843285714285714,0.005467301273933463,0.886215793020912,0.00556036633262818,0.0,0.0,0.013102048348403719,0.0004843456894883271,0.14705882352941177,0.006575406142440222
neg_on,0.9419999999999998,0.006324555320336764,0.33999999999999997,0.008432740427115708,0.8544516934046348,0.011791164805682004,0.8172150793650793,0.010743702806565378,0.8470993568909044,0.010588149357150075,0.0,0.0,0.01330503782985786,0.0006874495206224301,0.14394463667820062,0.010966426135183125
sim_off,0.938,0.006324555320336729,0.3313999999999999,0.006736302975503563,0.8381474153297683,0.00894301405205735,0.8289769841269843,0.019024386349423116,0.8527296375031496,0.017095380381716478,0.0,0.0,0.013452666543642697,0.0006650692216657675,0.14325259515570934,0.009677590294534265
sim_on,0.944,0.012649110640673505,0.3363999999999999,0.007351492667781477,0.847416815210933,0.014679777110204515,0.8338603174603175,0.019217414932844123,0.8595220414462081,0.017313385725856414,0.0,0.0,0.01291751245617267,0.0005963806184925101,0.15121107266435982,0.008941659720098867
