variant,total_functions_mean,total_functions_std,total_clean_functions_mean,total_clean_functions_std,total_vuln_functions_mean,total_vuln_functions_std,false_positive_clean_functions_mean,false_positive_clean_functions_std,true_negative_clean_functions_mean,true_negative_clean_functions_std,false_negative_vuln_functions_mean,false_negative_vuln_functions_std,clean_FPR_mean,clean_FPR_std,clean_TNR_mean,clean_TNR_std,NO_VULN_precision_mean,NO_VULN_precision_std,NO_VULN_recall_mean,NO_VULN_recall_std,vuln_empty_output_rate_mean,vuln_empty_output_rate_std
neg_off,1174.0,0.0,1124.0,0.0,50.0,0.0,1116.5,2.758824226207808,7.5,2.758824226207808,0.1,0.31622776601683794,0.9933274021352313,0.0024544699521421975,0.006672597864768683,0.002454469952142178,0.9857142857142858,0.04517539514526258,0.006672597864768683,0.002454469952142178,0.002,0.006324555320336759
neg_on,1174.0,0.0,1124.0,0.0,50.0,0.0,9.3,11.518584017915474,1114.7,11.518584017915474,5.3,0.8232726023485646,0.008274021352313168,0.010247850549746864,0.9917259786476869,0.010247850549746845,0.9952697759732473,0.0007150984453290145,0.9917259786476869,0.010247850549746845,0.10600000000000001,0.01646545204697129
