Metric,mean,std,n_success,mean_fmt,std_fmt
A@10,0.9439999999999997,0.012649110640673505,10,94.40%,1.26%
P@10,0.3364,0.0073514926677814875,10,33.64%,0.74%
R@10,0.847416815210933,0.014679777110204515,10,84.74%,1.47%
MRR@10,0.8338603174603175,0.019217414932844123,10,83.39%,1.92%
MAP@10,0.8595220414462081,0.017313385725856414,10,85.95%,1.73%
Median IFA,0.0,0.0,10,0.0000,0.0000
Effort@20%Recall,0.01291751245617267,0.0005963806184925101,10,1.29%,0.06%
Recall@1%LOC,0.15121107266435982,0.008941659720098865,10,15.12%,0.89%
