Metric,mean,std,n_success,mean_fmt,std_fmt
A@10,0.9379999999999997,0.006324555320336729,10,93.80%,0.63%
P@10,0.3314,0.006736302975503566,10,33.14%,0.67%
R@10,0.8381474153297683,0.00894301405205735,10,83.81%,0.89%
MRR@10,0.8289769841269843,0.019024386349423116,10,82.90%,1.90%
MAP@10,0.8527296375031496,0.017095380381716475,10,85.27%,1.71%
Median IFA,0.0,0.0,10,0.0000,0.0000
Effort@20%Recall,0.013452666543642699,0.0006650692216657676,10,1.35%,0.07%
Recall@1%LOC,0.14325259515570934,0.009677590294534265,10,14.33%,0.97%
