Metric,mean,std
A@10,81.2,3.643868518179242
P@10,25.169999999999998,1.7720358662033653
R@10,74.32000000000001,4.070981317678685
MRR@10,0.7937999987151816,0.04271923770603998
MAP@10,78.16,4.4234727433444325
Median IFA,0.0,0.0
Effort@20%Recall,4.630000000000001,1.986090520483786
Recall@1%LOC,15.98,1.6185041104537097
