Metric,mean,std,n_success
A@10,0.6486000000000001,0.015152557539900663,10
P@10,0.1676,0.004247875285886392,10
R@10,0.4977999999999999,0.011811482172492628,10
MRR@10,0.3477,0.008895067297228408,10
MAP@10,0.3261,0.009960477453973335,10
Median IFA,4.65,0.4743416490252569,10
Effort@20%Recall,0.93,0.04830458915396478,10
Recall@1%LOC,0.20410000000000003,0.0034785054261852206,10
