Metric,mean,std,n_success,mean_fmt,std_fmt
A@10,0.9379999999999997,0.014757295747452418,10,93.80%,1.48%
P@10,0.3296,0.026563132345414422,10,32.96%,2.66%
R@10,0.8398608140225787,0.04265106264878018,10,83.99%,4.27%
MRR@10,0.8240595238095239,0.02440661433155468,10,82.41%,2.44%
MAP@10,0.8499226486520536,0.02922901536239363,10,84.99%,2.92%
Median IFA,0.0,0.0,10,0.0000,0.0000
Effort@20%Recall,0.01328658424063477,0.000650981438411646,10,1.33%,0.07%
Recall@1%LOC,0.143598615916955,0.011212354149494562,10,14.36%,1.12%
