Metric,mean,std,n_success,mean_fmt,std_fmt
A@10,0.9299999999999999,0.010540925533894548,10,93.00%,1.05%
P@10,0.3083999999999999,0.013688600285557984,10,30.84%,1.37%
R@10,0.8024058823529414,0.022900900988094403,10,80.24%,2.29%
MRR@10,0.8151293650793651,0.02098028279871205,10,81.51%,2.10%
MAP@10,0.8267917520156212,0.020327637648221347,10,82.68%,2.03%
Median IFA,0.0,0.0,10,0.0000,0.0000
Effort@20%Recall,0.01396936704188961,0.0009958481129272421,10,1.40%,0.10%
Recall@1%LOC,0.13875432525951553,0.012036350955658186,10,13.88%,1.20%
