Metric,mean,std,n_success,mean_fmt,std_fmt
A@10,0.9419999999999998,0.006324555320336764,10,94.20%,0.63%
P@10,0.34,0.008432740427115702,10,34.00%,0.84%
R@10,0.8544516934046348,0.011791164805682004,10,85.45%,1.18%
MRR@10,0.8172150793650793,0.010743702806565378,10,81.72%,1.07%
MAP@10,0.8470993568909044,0.010588149357150075,10,84.71%,1.06%
Median IFA,0.0,0.0,10,0.0000,0.0000
Effort@20%Recall,0.01330503782985786,0.0006874495206224301,10,1.33%,0.07%
Recall@1%LOC,0.14394463667820062,0.010966426135183125,10,14.39%,1.10%
