Metric,mean,std,n_success,mean_fmt,std_fmt
A@10,0.9419999999999996,0.006324555320336764,10,94.20%,0.63%
P@10,0.3462,0.0038239014399200077,10,34.62%,0.38%
R@10,0.8577918003565064,0.0066863860319171286,10,85.78%,0.67%
MRR@10,0.8843285714285714,0.005467301273933463,10,88.43%,0.55%
MAP@10,0.886215793020912,0.005560366332628181,10,88.62%,0.56%
Median IFA,0.0,0.0,10,0.0000,0.0000
Effort@20%Recall,0.013102048348403719,0.0004843456894883271,10,1.31%,0.05%
Recall@1%LOC,0.14705882352941177,0.006575406142440222,10,14.71%,0.66%
